t,bloque,banda,I_t_puntual,I_t_simultaneo
400,train,FAR (IC del modelo AR),0.9387755102040817,0.0
401,train,FAR (IC del modelo AR),1.0,1.0
402,train,FAR (IC del modelo AR),1.0,1.0
403,train,FAR (IC del modelo AR),0.9591836734693877,0.0
404,train,FAR (IC del modelo AR),1.0,1.0
405,train,FAR (IC del modelo AR),1.0,1.0
406,train,FAR (IC del modelo AR),1.0,1.0
407,train,FAR (IC del modelo AR),1.0,1.0
408,train,FAR (IC del modelo AR),1.0,1.0
409,train,FAR (IC del modelo AR),1.0,1.0
410,train,FAR (IC del modelo AR),1.0,1.0
411,train,FAR (IC del modelo AR),1.0,1.0
412,train,FAR (IC del modelo AR),1.0,1.0
413,train,FAR (IC del modelo AR),1.0,1.0
414,train,FAR (IC del modelo AR),1.0,1.0
415,train,FAR (IC del modelo AR),1.0,1.0
416,train,FAR (IC del modelo AR),1.0,1.0
417,train,FAR (IC del modelo AR),1.0,1.0
418,train,FAR (IC del modelo AR),1.0,1.0
419,train,FAR (IC del modelo AR),1.0,1.0
420,train,FAR (IC del modelo AR),1.0,1.0
421,train,FAR (IC del modelo AR),1.0,1.0
422,train,FAR (IC del modelo AR),1.0,1.0
423,train,FAR (IC del modelo AR),1.0,1.0
424,train,FAR (IC del modelo AR),1.0,1.0
425,train,FAR (IC del modelo AR),1.0,1.0
426,train,FAR (IC del modelo AR),1.0,1.0
427,train,FAR (IC del modelo AR),1.0,1.0
428,train,FAR (IC del modelo AR),1.0,1.0
429,train,FAR (IC del modelo AR),1.0,1.0
430,train,FAR (IC del modelo AR),1.0,1.0
431,train,FAR (IC del modelo AR),1.0,1.0
432,train,FAR (IC del modelo AR),1.0,1.0
433,train,FAR (IC del modelo AR),1.0,1.0
434,train,FAR (IC del modelo AR),1.0,1.0
435,train,FAR (IC del modelo AR),1.0,1.0
436,train,FAR (IC del modelo AR),1.0,1.0
437,train,FAR (IC del modelo AR),1.0,1.0
438,train,FAR (IC del modelo AR),1.0,1.0
439,train,FAR (IC del modelo AR),1.0,1.0
440,train,FAR (IC del modelo AR),1.0,1.0
441,train,FAR (IC del modelo AR),1.0,1.0
442,train,FAR (IC del modelo AR),1.0,1.0
443,train,FAR (IC del modelo AR),1.0,1.0
444,train,FAR (IC del modelo AR),1.0,1.0
445,train,FAR (IC del modelo AR),1.0,1.0
446,train,FAR (IC del modelo AR),1.0,1.0
447,train,FAR (IC del modelo AR),1.0,1.0
448,train,FAR (IC del modelo AR),1.0,1.0
449,train,FAR (IC del modelo AR),1.0,1.0
450,train,FAR (IC del modelo AR),1.0,1.0
451,train,FAR (IC del modelo AR),1.0,1.0
452,train,FAR (IC del modelo AR),1.0,1.0
453,train,FAR (IC del modelo AR),1.0,1.0
454,train,FAR (IC del modelo AR),1.0,1.0
455,train,FAR (IC del modelo AR),1.0,1.0
456,train,FAR (IC del modelo AR),1.0,1.0
457,train,FAR (IC del modelo AR),1.0,1.0
458,train,FAR (IC del modelo AR),1.0,1.0
459,train,FAR (IC del modelo AR),1.0,1.0
460,train,FAR (IC del modelo AR),1.0,1.0
461,train,FAR (IC del modelo AR),1.0,1.0
462,train,FAR (IC del modelo AR),1.0,1.0
463,train,FAR (IC del modelo AR),1.0,1.0
464,train,FAR (IC del modelo AR),1.0,1.0
465,train,FAR (IC del modelo AR),1.0,1.0
466,train,FAR (IC del modelo AR),1.0,1.0
467,train,FAR (IC del modelo AR),1.0,1.0
468,train,FAR (IC del modelo AR),1.0,1.0
469,train,FAR (IC del modelo AR),1.0,1.0
470,train,FAR (IC del modelo AR),1.0,1.0
471,train,FAR (IC del modelo AR),1.0,1.0
472,train,FAR (IC del modelo AR),1.0,1.0
473,train,FAR (IC del modelo AR),1.0,1.0
474,train,FAR (IC del modelo AR),1.0,1.0
475,train,FAR (IC del modelo AR),1.0,1.0
476,train,FAR (IC del modelo AR),1.0,1.0
477,train,FAR (IC del modelo AR),1.0,1.0
478,train,FAR (IC del modelo AR),1.0,1.0
479,train,FAR (IC del modelo AR),1.0,1.0
480,train,FAR (IC del modelo AR),1.0,1.0
481,train,FAR (IC del modelo AR),1.0,1.0
482,train,FAR (IC del modelo AR),1.0,1.0
483,train,FAR (IC del modelo AR),1.0,1.0
484,train,FAR (IC del modelo AR),1.0,1.0
485,train,FAR (IC del modelo AR),1.0,1.0
486,train,FAR (IC del modelo AR),1.0,1.0
487,train,FAR (IC del modelo AR),1.0,1.0
488,train,FAR (IC del modelo AR),1.0,1.0
489,train,FAR (IC del modelo AR),1.0,1.0
490,train,FAR (IC del modelo AR),1.0,1.0
491,train,FAR (IC del modelo AR),1.0,1.0
492,train,FAR (IC del modelo AR),1.0,1.0
493,train,FAR (IC del modelo AR),1.0,1.0
494,train,FAR (IC del modelo AR),1.0,1.0
495,train,FAR (IC del modelo AR),1.0,1.0
496,train,FAR (IC del modelo AR),1.0,1.0
497,train,FAR (IC del modelo AR),0.9795918367346939,0.0
498,train,FAR (IC del modelo AR),1.0,1.0
499,train,FAR (IC del modelo AR),1.0,1.0
500,train,FAR (IC del modelo AR),1.0,1.0
501,train,FAR (IC del modelo AR),1.0,1.0
502,train,FAR (IC del modelo AR),1.0,1.0
503,train,FAR (IC del modelo AR),1.0,1.0
504,train,FAR (IC del modelo AR),1.0,1.0
505,train,FAR (IC del modelo AR),1.0,1.0
506,train,FAR (IC del modelo AR),1.0,1.0
507,train,FAR (IC del modelo AR),1.0,1.0
508,train,FAR (IC del modelo AR),1.0,1.0
509,train,FAR (IC del modelo AR),1.0,1.0
510,train,FAR (IC del modelo AR),1.0,1.0
511,train,FAR (IC del modelo AR),1.0,1.0
512,train,FAR (IC del modelo AR),1.0,1.0
513,train,FAR (IC del modelo AR),1.0,1.0
514,train,FAR (IC del modelo AR),1.0,1.0
515,train,FAR (IC del modelo AR),1.0,1.0
516,train,FAR (IC del modelo AR),1.0,1.0
517,train,FAR (IC del modelo AR),0.40816326530612246,0.0
518,train,FAR (IC del modelo AR),0.0,0.0
519,train,FAR (IC del modelo AR),0.4489795918367347,0.0
520,train,FAR (IC del modelo AR),0.7959183673469388,0.0
521,train,FAR (IC del modelo AR),0.5510204081632653,0.0
522,train,FAR (IC del modelo AR),0.9795918367346939,0.0
523,train,FAR (IC del modelo AR),0.9387755102040817,0.0
524,train,FAR (IC del modelo AR),0.9387755102040817,0.0
525,train,FAR (IC del modelo AR),0.9795918367346939,0.0
526,train,FAR (IC del modelo AR),0.9387755102040817,0.0
527,train,FAR (IC del modelo AR),1.0,1.0
528,train,FAR (IC del modelo AR),1.0,1.0
529,train,FAR (IC del modelo AR),0.7551020408163265,0.0
530,train,FAR (IC del modelo AR),0.6938775510204082,0.0
531,train,FAR (IC del modelo AR),1.0,1.0
532,train,FAR (IC del modelo AR),1.0,1.0
533,train,FAR (IC del modelo AR),1.0,1.0
534,train,FAR (IC del modelo AR),1.0,1.0
535,train,FAR (IC del modelo AR),1.0,1.0
536,train,FAR (IC del modelo AR),1.0,1.0
537,train,FAR (IC del modelo AR),0.9591836734693877,0.0
538,train,FAR (IC del modelo AR),1.0,1.0
539,train,FAR (IC del modelo AR),0.6530612244897959,0.0
540,train,FAR (IC del modelo AR),0.8775510204081632,0.0
541,train,FAR (IC del modelo AR),0.9387755102040817,0.0
542,train,FAR (IC del modelo AR),0.8571428571428571,0.0
543,train,FAR (IC del modelo AR),0.7959183673469388,0.0
544,train,FAR (IC del modelo AR),0.8979591836734694,0.0
545,train,FAR (IC del modelo AR),0.9387755102040817,0.0
