t,bloque,I_t_puntual,I_t_simultaneo
879,test,1.0,1.0
880,test,1.0,1.0
881,test,0.8133333333333334,0.0
882,test,0.8133333333333334,0.0
883,test,1.0,1.0
884,test,1.0,1.0
885,test,1.0,1.0
886,test,0.96,0.0
887,test,0.8933333333333333,0.0
888,test,0.9866666666666667,0.0
889,test,0.6,0.0
890,test,0.8533333333333334,0.0
891,test,1.0,1.0
892,test,0.84,0.0
893,test,0.88,0.0
894,test,1.0,1.0
895,test,0.7733333333333333,0.0
896,test,1.0,1.0
897,test,0.8933333333333333,0.0
898,test,0.8266666666666667,0.0
899,test,1.0,1.0
900,test,1.0,1.0
901,test,0.9333333333333333,0.0
902,test,1.0,1.0
903,test,0.9733333333333334,0.0
904,test,1.0,1.0
905,test,0.6933333333333334,0.0
906,test,0.8666666666666667,0.0
907,test,1.0,1.0
908,test,1.0,1.0
909,test,0.9866666666666667,0.0
910,test,0.7866666666666666,0.0
911,test,0.96,0.0
912,test,0.8933333333333333,0.0
913,test,0.92,0.0
914,test,1.0,1.0
915,test,0.9333333333333333,0.0
916,test,0.96,0.0
917,test,1.0,1.0
918,test,0.7866666666666666,0.0
919,test,0.8266666666666667,0.0
920,test,0.9466666666666667,0.0
921,test,0.9866666666666667,0.0
922,test,0.9866666666666667,0.0
923,test,1.0,1.0
924,test,0.9333333333333333,0.0
925,test,0.7866666666666666,0.0
926,test,1.0,1.0
927,test,0.8133333333333334,0.0
928,test,0.9333333333333333,0.0
929,test,1.0,1.0
930,test,0.9733333333333334,0.0
931,test,0.8533333333333334,0.0
932,test,0.92,0.0
933,test,1.0,1.0
934,test,0.88,0.0
935,test,1.0,1.0
936,test,0.88,0.0
937,test,1.0,1.0
938,test,0.7333333333333333,0.0
939,test,1.0,1.0
940,test,1.0,1.0
941,test,1.0,1.0
942,test,0.88,0.0
943,test,1.0,1.0
944,test,1.0,1.0
945,test,0.96,0.0
946,test,0.9866666666666667,0.0
947,test,0.8,0.0
948,test,0.9866666666666667,0.0
949,test,1.0,1.0
950,test,0.7733333333333333,0.0
951,test,1.0,1.0
952,test,0.9866666666666667,0.0
953,test,0.9466666666666667,0.0
954,test,0.9333333333333333,0.0
955,test,0.88,0.0
956,test,0.68,0.0
