M,metrica,columna,bloque,banda,pct_ventanas_ganadas,n_ventanas,criterio
6,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.5487256371814093,667,menor es mejor
6,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4497751124437781,667,menor es mejor
6,10. Winkler max peor ventana,winkler_max_glob,train,PSBPM-FD (predictiva bayesiana),0.0014992503748125937,667,menor es mejor
6,10. Winkler max peor ventana,winkler_max_glob,test,FAR (IC del modelo AR),0.34686346863468637,271,menor es mejor
6,10. Winkler max peor ventana,winkler_max_glob,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.6531365313653137,271,menor es mejor
6,10. Winkler max peor ventana,winkler_max_glob,test,PSBPM-FD (predictiva bayesiana),0.0,271,menor es mejor
7,5. MPIW,mpiw,train,FAR (IC del modelo AR),1.0,667,menor es mejor
7,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,667,menor es mejor
7,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),0.0,667,menor es mejor
7,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.981549815498155,271,menor es mejor
7,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,271,menor es mejor
7,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),0.01845018450184502,271,menor es mejor
7,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.3853073463268366,667,|valor - nominal|
7,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.22488755622188905,667,|valor - nominal|
7,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.38980509745127434,667,|valor - nominal|
7,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.35793357933579334,271,|valor - nominal|
7,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.25092250922509224,271,|valor - nominal|
7,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.39114391143911437,271,|valor - nominal|
7,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.6101949025487257,667,|valor - nominal|
7,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.37631184407796103,667,|valor - nominal|
7,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.013493253373313344,667,|valor - nominal|
7,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.7084870848708487,271,|valor - nominal|
7,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2915129151291513,271,|valor - nominal|
7,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.0,271,|valor - nominal|
7,8. Winkler,winkler,train,FAR (IC del modelo AR),0.6776611694152923,667,menor es mejor
7,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.23238380809595202,667,menor es mejor
7,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.08995502248875563,667,menor es mejor
7,8. Winkler,winkler,test,FAR (IC del modelo AR),0.6420664206642066,271,menor es mejor
7,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2988929889298893,271,menor es mejor
7,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.05904059040590406,271,menor es mejor
7,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.4707646176911544,667,menor es mejor
7,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5112443778110944,667,menor es mejor
