M,metrica,columna,banda,bloque,minimo,maximo,promedio
6,5. MPIW,mpiw,FAR (IC del modelo AR),test,2.4523197223638755,2.4523197223638755,2.4523197223638755
6,5. MPIW,mpiw,FAR (IC del modelo AR),train,2.4523197223638755,2.4523197223638755,2.4523197223638755
6,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.467438267472445,2.467438267472445,2.467438267472445
6,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.467438267472445,2.467438267472445,2.467438267472445
6,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,2.8264441120984776,3.203473917707568,2.952832718631508
6,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,2.7987545711185593,3.320154456655262,2.9663551192993407
6,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.919,0.991,0.9555542986425339
6,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.9095,0.996,0.9546898148148149
6,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.926,0.9935,0.956816742081448
6,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.9195,0.991,0.9551222222222222
6,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.9375,0.9755,0.9559524886877828
6,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.9225,0.985,0.958560185185185
6,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.1,0.75,0.4972850678733032
6,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.25,0.9,0.5127777777777779
6,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.25,0.8,0.5115384615384615
6,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.3,0.8,0.5085185185185186
6,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.15,0.55,0.3604072398190046
6,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.05,0.75,0.37462962962962965
6,8. Winkler,winkler,FAR (IC del modelo AR),test,2.314276102371212,2.9197867906019015,2.568948436916742
6,8. Winkler,winkler,FAR (IC del modelo AR),train,2.3155911557269695,3.463062875927899,2.657014170475942
6,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.3205287949629,2.8263421718689044,2.5639848608371114
6,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.3249561647728547,3.3776839033171084,2.6627655677978743
6,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,2.7426548524832732,3.599351385878907,3.051687229540468
6,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,2.710710014666229,4.08784390445211,3.1480106492155095
6,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,34.57793338478459,49.063511989959764,39.89052955730072
6,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,34.57793338478459,74.74353718747234,42.56621902675822
6,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.78315046723695,48.371750397385256,39.650182742802244
6,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.78315046723695,76.41994555569322,42.83311442971393
6,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,29.438490438461304,55.90274139998962,40.38293512658692
6,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,29.550593996047972,87.86684750200368,44.69152107691137
6,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.577933384784586,224.0160322012385,119.79601077830989
6,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,34.577933384784586,487.9142012941039,148.03027194143965
6,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.78315046723695,192.535452295859,111.36437361770211
6,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.78315046723695,457.0249835445771,147.17237830247817
6,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,35.11228561401367,305.98240270368535,168.08798117993805
6,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,35.38393974304199,552.1594712795218,207.007636656361
