t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
258,1,0.03233779418006436,0.4618734802343052,0.03233779418006438,0,2.1378177071248294,2.960272130997624,1.603363280343622,4.563635411341246,4.563635411341246,0,-1.6797443145135094,train
259,1,0.1660644090915424,0.2424587127162363,0.1660644090915424,0,2.1628700050198986,2.762099748234022,1.6221525037649238,4.384252251998946,4.384252251998946,0,2.285359192685779,train
260,1,0.13946532941167122,0.270681162804992,0.13946532941167122,0,2.188117261451567,2.2312389603292395,1.6410879460886754,3.872326906417915,3.872326906417915,0,-1.057299827402964,train
261,1,0.017648605974965564,0.5262330452300948,0.017648605974965537,0,2.213560232073075,2.0588705477591636,1.6601701740548065,3.71904072181397,3.71904072181397,0,0.7572838120786997,train
262,0,0.5849241085753754,-0.053626726257201586,0.41507589142462464,1,2.2391996725376675,0.2658030185086716,1.6793997544032506,1.9452027729119221,1.9452027729119221,1,1.160807335356338,train
263,0,0.754783072545772,-0.17240473444172463,0.24521692745422796,0,2.265036338498585,1.3418326741741478,1.6987772538739387,3.0406099280480863,3.0406099280480863,0,1.3993568604745534,train
264,1,0.08151110865316125,0.3487447126928081,0.08151110865316125,0,2.291070985609072,1.1383847667515687,1.718303239206804,2.8566880059583726,2.8566880059583726,0,2.575779456889758,train
265,0,0.996715929280665,-0.6794954960080565,0.0032840707193350083,0,2.3173043695223696,2.544308744726717,1.737978277141777,4.282287021868495,4.282287021868495,0,2.8775358716721176,train
266,0,0.9833196433435227,-0.5319287715989296,0.01668035665647727,0,2.343737245891722,0.7975596918399879,1.7578029344187915,2.5553626262587796,2.5553626262587796,0,0.2771317376382898,train
267,1,0.17836867610944251,0.23039995509891975,0.17836867610944251,0,2.37037037037037,2.5616691773433407,1.7777777777777772,4.339446955121118,4.339446955121118,0,0.2956313272032735,train
268,0,0.737149247799841,-0.15864533384448312,0.26285075220015897,1,2.397204498611558,0.3962019943625373,1.7979033739586687,2.194105368321206,2.194105368321206,1,3.1233545756458536,train
269,1,0.06244329960621212,0.38364543661936495,0.062443299606212144,0,2.424240386268527,0.9303757153385193,1.8181802897013952,2.7485560050399145,2.7485560050399145,0,-0.5012573414162764,train
