t,bloque,banda,I_t_puntual,I_t_simultaneo
296,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
297,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
298,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
299,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
300,train,PSBPM-FD (predictiva bayesiana),0.68,0.0
301,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
302,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
303,train,PSBPM-FD (predictiva bayesiana),0.7066666666666667,0.0
304,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
305,train,PSBPM-FD (predictiva bayesiana),0.8266666666666667,0.0
306,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
307,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
308,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
309,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
310,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
311,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
312,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
313,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
314,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
315,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
316,train,PSBPM-FD (predictiva bayesiana),0.5466666666666666,0.0
317,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
318,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
319,train,PSBPM-FD (predictiva bayesiana),0.76,0.0
320,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
321,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
322,train,PSBPM-FD (predictiva bayesiana),0.3333333333333333,0.0
323,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
324,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
325,train,PSBPM-FD (predictiva bayesiana),0.68,0.0
326,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
327,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
328,train,PSBPM-FD (predictiva bayesiana),0.56,0.0
329,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
330,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
331,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
332,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
333,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
334,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
335,train,PSBPM-FD (predictiva bayesiana),0.7733333333333333,0.0
336,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
337,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
338,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
339,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
340,train,PSBPM-FD (predictiva bayesiana),0.68,0.0
341,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
342,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
343,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
344,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
345,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
346,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
347,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
348,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
349,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
350,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
351,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
352,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
353,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
354,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
355,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
356,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
357,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
358,train,PSBPM-FD (predictiva bayesiana),0.7733333333333333,0.0
359,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
360,train,PSBPM-FD (predictiva bayesiana),0.76,0.0
361,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
362,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
363,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
364,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
365,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
366,train,PSBPM-FD (predictiva bayesiana),0.8133333333333334,0.0
367,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
368,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
369,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
370,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
371,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
372,train,PSBPM-FD (predictiva bayesiana),0.7466666666666667,0.0
373,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
374,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
375,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
376,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
377,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
378,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
379,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
380,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
381,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
382,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
383,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
384,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
385,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
386,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
387,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
388,train,PSBPM-FD (predictiva bayesiana),0.7066666666666667,0.0
389,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
390,train,PSBPM-FD (predictiva bayesiana),0.7466666666666667,0.0
391,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
392,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
393,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
394,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
395,train,PSBPM-FD (predictiva bayesiana),0.8133333333333334,0.0
396,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
397,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
398,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
399,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
400,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
401,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
402,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
403,train,PSBPM-FD (predictiva bayesiana),0.7733333333333333,0.0
404,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
405,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
406,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
407,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
408,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
409,train,PSBPM-FD (predictiva bayesiana),0.7466666666666667,0.0
410,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
411,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
412,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
413,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
414,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
415,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
416,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
417,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
418,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
419,train,PSBPM-FD (predictiva bayesiana),0.76,0.0
420,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
421,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
422,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
423,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
424,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
425,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
426,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
